name		fast@-40C, 1.98, -40.0	fast@0C, 1.98, .0	typical, 1.80, 25.0	slow, 1.62, 125.0
S		N		N		N		N
# RA1SHD8192X32 words=8192 bits=32 mux=16 drive=12 pipeline=No frequency=20.000 ring width=2
geomx     	1080.060  	1080.060  	1080.060  	1080.060  
geomy     	1409.715  	1409.715  	1409.715  	1409.715  
ring_size 	5.200     	5.200     	5.200     	5.200     
icc       	3.620     	3.683     	3.271     	2.903     
icc_r     	3.106     	3.165     	2.808     	2.488     
icc_w     	4.134     	4.201     	3.735     	3.319     
icc_peak  	429.761   	407.630   	268.531   	154.693   
icc_desel 	7.88E-1   	8.04E-1   	6.97E-1   	6.20E-1   
icc_standby	1.38E-2   	7.13E-2   	2.44E-2   	9.77E-2   
tcyc      	0.995     	1.099     	1.587     	2.724     
ta        	0.981     	1.059     	1.641     	2.789     
tas       	0.220     	0.247     	0.373     	0.654     
tah       	0.054     	0.059     	0.073     	0.094     
tcs       	0.271     	0.294     	0.394     	0.641     
tch       	0.000     	0.000     	0.000     	0.000     
tws       	0.144     	0.155     	0.237     	0.422     
twh       	0.000     	0.000     	0.000     	0.000     
tds       	0.130     	0.139     	0.241     	0.428     
tdh       	0.000     	0.000     	0.003     	0.001     
thz       	0.462     	0.493     	0.669     	1.102     
tlz       	0.397     	0.422     	0.572     	0.912     
tckh      	0.079     	0.087     	0.118     	0.209     
tckl      	0.112     	0.121     	0.180     	0.311     
tckr      	4.000     	4.000     	4.000     	4.000     
load_q    	0.248     	0.262     	0.354     	0.526     
icap_a    	0.055     	0.055     	0.055     	0.054     
icap_d    	0.004     	0.004     	0.004     	0.003     
icap_clk  	0.277     	0.283     	0.274     	0.267     
icap_cen  	0.015     	0.015     	0.015     	0.015     
icap_wen  	0.123     	0.123     	0.122     	0.121     
icap_oen  	0.010     	0.010     	0.010     	0.010     
ocap_q    	0.023     	0.023     	0.023     	0.023     
pwn_ck    	10.000    	10.000    	10.000    	10.000    
vn_ck     	0.844     	0.827     	0.829     	0.791     
vn_pwr    	0.198     	0.198     	0.180     	0.162     
vn_gnd    	0.198     	0.198     	0.180     	0.162     
